Datum,Start,Eind,Taak,Hoofdverantwoordelijke,aantal medewerkers,Informatie voor uitvoerenden,Grootte van taak,Locatie,Taak nummer,Aantekeningen
2026-06-04,11:30,12:00,Eten uitdelen en tafels opruimen ,,2,,Klein,Kantine,40,team van taak 40 kan ook ingezet worden voor taak 43
2026-06-04,12:00,12:30,Toezicht bij het eten,,1,,Klein,Kantine,41,
2026-06-04,12:00,12:30,Toezicht tijdens de pauze van de onderbouw,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,42,
2026-06-04,12:00,12:30,Eten uitdelen en tafels opruimen,,2,,Klein,Kantine,43,
2026-06-04,13:15,13:45,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,44,team van taak 44 kan ook ingezet worden voor taak 45
2026-06-04,13:45,14:00,Uitdelen fruitsnack + koffie,1,1,,Klein,Speelplaats,45,
2026-06-04,13:30,16:00,Koken,Gertje,2,,Groot,Keuken,46,
2026-06-04,15:00,15:15,Toezicht tijdens het vertrekken van kinderen,,1,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,47,
2026-06-04,15:15,15:30,Namiddag snack uitdelen,1,1,,Klein,Speelplaats,48,
2026-06-04,15:30,17:00,Middagactiviteit,1,2,,Groot,,49,"Hoofdverantwoordelijke moet zich aanmelden, niet door programma laten indelen"
2026-06-04,15:30,17:00,Voetbal,1,1,"Voetbalkooi naast Järvenpää skatepark / Als je liever een andere activiteit doet, mag je onderling ook met iemand van een andere activiteit ruilen. Zelf regelen.",Groot,https://maps.app.goo.gl/dS7iJEybhz1AxWa97,50,
2026-06-04,17:30,18:30,Avond eten uitdelen en opruimen,1,2,,Groot,Kantine,51,
2026-06-04,18:30,20:00,Avondactiviteit,1,2,,Groot,,52,"Hoofdverantwoordelijke moet zich aanmelden, niet door programma laten indelen"
2026-06-04,20:00,20:45,Avondsnack uitdelen en opruimen,1,,,Klein,Speelplaats / kantine,53,
2026-06-04,20:00,21:30,Afwas,1,1,Neem een drankje mee of verdeel de taak onderling,Groot,Keuken,54,
2026-06-04,20:30,21:00,Schoonmaak van kantine,1,1,,Klein,Kantine,55,Verantwoordelijke is ook verantwoordelijk voor taak 56. 
2026-06-04,20:30,21:00,Spullen naar binnen halen,,1,,Klein,Speelplaats,56,
2026-06-05,07:15,07:30,Pap koken en koffie zetten,1,,,Groot,Kantine,57,Hoofdverantwoordelijke voor taak 28 is ook hoofdverantwoordelijk voor taak 29
2026-06-05,07:30,08:30,Ontbijt voorbereiden/opruimen,,2,Ontbijt begint om 07:45,Groot,Kantine,58,
2026-06-05,08:45,09:00,Toezicht tijdens het aankomen van kinderen,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,59,
2026-06-05,08:45,09:00,"Koffie zetten, koffie en stroopwafels serveren aan de leraren",,1,,Klein,Kantine,60,
2026-06-05,09:00,11:00,Boodschappen organizeren,Gertje/bestuur,,,Klein,Huishoudlokaal,61,niemand inplannen we moeten hier ad hoc mensen inzetten
2026-06-05,09:45,10:15,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,62,team van taak 62 kan ook ingezet worden voor taak 63
2026-06-05,10:15,10:30,Uitdelen fruitsnack + koffie,1,2,,Klein,Speelplaats,63,
2026-06-05,11:30,12:00,Toezicht tijdens de pauze van de bovenbouw,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,64,
2026-06-05,11:25,12:00,Lunch helpen groep 1,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,65,idealiter ouder van kind uit de betreffende klas
2026-06-05,11:25,12:00,Lunch helpen groep 2,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,66,idealiter ouder van kind uit de betreffende klas
2026-06-05,11:25,12:00,Lunch helpen groep 3a,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,67,idealiter ouder van kind uit de betreffende klas
2026-06-05,11:25,12:00,Lunch helpen groep 3b,,1,"Wees op tijd en haal de kinderen op vanaf de klas, zodat de leerkracht zelf rustig kan eten",Klein,Kantine,68,idealiter ouder van kind uit de betreffende klas
2026-06-05,11:30,12:00,Eten uitdelen en tafels opruimen ,,2,,Klein,Kantine,69,team van taak 69 kan ook ingezet worden voor taak 72
2026-06-05,12:00,12:30,Toezicht bij het eten,,1,,Klein,Kantine,70,
2026-06-05,12:00,12:30,Toezicht tijdens de pauze van de onderbouw,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,71,
2026-06-05,12:00,12:30,Eten uitdelen en tafels opruimen,,2,,Klein,Kantine,72,
2026-06-05,13:15,13:45,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,73,team van taak 73 kan ook ingezet worden voor taak 74
2026-06-05,13:45,14:00,Uitdelen fruitsnack + koffie,1,1,,Klein,Speelplaats,74,
2026-06-05,13:30,16:00,Koken,Gertje,2,,Groot,Keuken,75,
2026-06-05,13:30,16:00,Lunch zaterdag voorbereiden,Gertje,3,,Groot,Keuken,76,
2026-06-05,15:00,15:15,Toezicht tijdens het vertrekken van kinderen,,1,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,77,
2026-06-05,15:00,15:15,Klaarmaken koffie thermos voor leraren vergadering,1,1,,Klein,Kantine,78,
2026-06-05,15:15,15:30,Namiddag snack uitdelen,1,2,ijsjes uitdelen + fruit + elovena koekjes + limonade,Klein,Speelplaats,79,
2026-06-05,15:30,17:00,Middagactiviteit,1,1,,Groot,,80,
2026-06-05,15:30,17:00,Voetbal,1,1,"Voetbalkooi naast Järvenpää skatepark / Als je liever een andere activiteit doet, mag je onderling ook met iemand van een andere activiteit ruilen. Zelf regelen.",,https://maps.app.goo.gl/dS7iJEybhz1AxWa97,81,
2026-06-05,15:30,17:30,Voorbereiden Playbackshow,Linea,1,"Ruimte naar muzieklokaal openen, geluidssysteem testen",Groot,Opinaukio,82,Volgens mij is Mini hier vaak bij betrokken / niet automatisch inplannen
2026-06-05,15:30,17:30,Voorbereiden Disco,1,2,"Discobal en lampen ophangen, versiering, tafel voor catering, NTC soundsystem neerzetten en testen",Groot,Gymzaal,83,"Hoofdverantwoordelijke is ook verantwoordelijk voor taak 89, idealiter hele zelfde team"
2026-06-05,17:30,18:30,Eten uitdelen,1,2,,Groot,Kantine,84,
2026-06-05,18:00,18:45,"Schoonmaken kantine, vaat naar keuken",1,1,Begin tijdig moet vaat naar de keuken brengen zodat de afwasser kan beginnen,Klein,Kantine,85,
2026-06-05,18:00,19:00,Afwas,1,,Als er tegen het begin van de  playbackshow nog werk niet af is mag het blijven staan voor de avond afwas,Klein,Keuken,86,
2026-06-05,19:00,20:00,Playbackshow runnen,Linea,4,,Klein,Opinaukio,87,Volgens mij is Mini hier vaak bij betrokken
2026-06-05,19:45,20:00,Chips en drinken voorbereiden,1,3,,Klein,Gymzaal,88,Verantwoordelijken voor taak 88 zijn ook verantwoordelijk voor taak 89
2026-06-05,20:00,20:30,"Chips en drinken bijhouden, kleintjes helpen",1,3,,Klein,Gymzaal,89,
2026-06-05,21:00,22:00,Afbouw en schoonmaak Disco,1,2,"Zaal vegen, toiletten nakijken, lampen afbreken, tafels en schalen terug naar de kantine",Groot,Gymzaal,90,
2026-06-05,21:00,21:30,Kantine nalopen en spullen naar binnen,,1,,Klein,Kantine,91,
2026-06-05,20:30,22:00,Afwas,1,1,Neem een drankje mee of verdeel de taak onderling,Groot,Keuken,92,
2026-06-06,07:15,07:30,Pap koken en koffie zetten,1,,,Groot,Kantine,93,Hoofdverantwoordelijke voor taak 93 is ook hoofdverantwoordelijk voor taak 94
2026-06-06,07:30,08:30,Ontbijt voorbereiden/opruimen,,2,Ontbijt begint om 07:45,Groot,Kantine,94,
2026-06-06,08:45,09:00,Toezicht tijdens het aankomen van kinderen,,2,Doe een hesje aan zodat je herkenbaar bent als toezicht,Klein,Speelplaats,95,
2026-06-06,08:45,09:00,"Koffie zetten, koffie en stroopwafels serveren aan de leraren",,1,,Klein,Kantine,96,
2026-06-06,09:45,10:15,Voorbereiden fruitsnack + koffie,1,2,,Klein,Huishoudlokaal,97,team van taak 97 kan ook ingezet worden voor taak 98 - Indeling afhankelijk van rapport uitdeel tijdschema
2026-06-06,10:15,10:45,Uitdelen fruitsnack + koffie,1,2,,Klein,Speelplaats,98,Indeling afhankelijk van rapport uitdeel tijdschema
2026-06-06,11:00,11:30,Lunch opwarmen & tafels klaarzetten,Gertje,2,,Klein,Speelplaats,99,Indeling afhankelijk van rapport uitdeel tijdschema
2026-06-06,11:30,12:00,Lunch uitdelen,1,5,,Klein,Speelplaats,100,
2026-06-06,12:00,13:30,Afsluitshow,1,2,,Groot,Speelplaats,101,"Niet door het programma laten indelen, moet apart geregeld worden"
2026-06-06,13:30,14:30,Afwas,1,1,,Groot,Keuken,102,
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 1,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,103,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 2,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,104,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 3A,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,105,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 3B,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,106,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 4,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,107,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 5,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,108,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 6 + 7,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,109,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak lokaal groep 8,1,,"Lokaal schoonvegen, vuilnis naar buiten, en leerspullen naar de boedelbak brengen",Klein,Lokalen,110,De verantwoordelijke moet de ouder zijn van een kind uit de betreffende klas
2026-06-06,13:45,14:15,Schoonmaak kantine en buiten,1,1,,Klein,Kantine,111,
